periodo;numero pasajeros
2024-10;28251591
2024-09;29647989
2024-08;32116068
2024-07;31900662
2024-06;29443093
2024-05;28287870
2024-04;25669281
2024-03;22857159
2024-02;19226616
2024-01;18667212
2023-12;20188650
2023-11;19743422
2023-10;26616698
2023-09;27548645
2023-08;29893753
2023-07;29762609
2023-06;26504623
2023-05;25476481
2023-04;23820536
2023-03;20093892
2023-02;16622331
2023-01;16930225
2022-12;17897600
2022-11;17613362
2022-10;23982338
2022-09;24883404
2022-08;27303685
2022-07;27070778
2022-06;24321738
2022-05;22262833
2022-04;20458163
2022-03;15587993
2022-02;11908468
2022-01;10403327
2021-12;12721113
2021-11;13442643
2021-10;17256972
2021-09;16316245
2021-08;18011518
2021-07;15139042
2021-06;9265571
2021-05;5888901
2021-04;3670555
2021-03;3198552
2021-02;2228559
2021-01;2812907